CSR_ID,Date,Class
1430,1,O
CSCALYSSA,2,O
1849,3,O
CSCCLAIRET,8,O
2009,9,O
TM0625,10,O
CSCELLEN,11,O
CSCFANNY,12,O
2543,15,O
2511,16,O
266,17,O
TM0627,18,O
TM0622,19,O
2291,22,O
2163,23,O
1426,24,O
CSCJESSIE,25,O
1805,26,O
1428,29,O
1435,30,O
TM0602,1,O
1808,2,O
CSCNICOLE,3,O
2544,8,O
1424,9,O
2673,10,O
TM0617,11,O
CSCSABINA,12,O
2590,15,O
CSCSAM,16,O
2008,17,O
1730,18,O
TM0626,19,O
2491,22,O
CSCVIVIAN,23,O
TM0611,24,O
CSCYVETTE,25,O
TM0592,26,O
TM0581,29,O
TM0577,30,O
TM0589,1,O
TM0580,2,O
