,1,2,3,8,9,10,11,12,15,16,17,18,19,22,23,24,25,26,29,30
9,20,14,15,20,14,15,12,13,20,14,15,12,13,20,14,15,12,13,20,14
9.5,17,14,13,17,14,13,13,11,17,14,13,13,11,17,14,13,13,11,17,14
10,18,15,14,18,15,14,12,14,18,15,14,12,14,18,15,14,12,14,18,15
10.5,17,15,14,17,15,14,13,13,17,15,14,13,13,17,15,14,13,13,17,15
11,17,13,15,17,13,15,14,11,17,13,15,14,11,17,13,15,14,11,17,13
11.5,17,13,13,17,13,13,12,14,17,13,13,12,14,17,13,13,12,14,17,13
12,12,8,9,12,8,9,8,8,12,8,9,8,8,12,8,9,8,8,12,8
12.5,9,10,8,9,10,8,8,8,9,10,8,8,8,9,10,8,8,8,9,10
13,12,10,10,12,10,10,8,9,12,10,10,8,9,12,10,10,8,9,12,10
13.5,16,13,12,16,13,12,11,12,16,13,12,11,12,16,13,12,11,12,16,13
14,15,14,14,15,14,14,13,12,15,14,14,13,12,15,14,14,13,12,15,14
14.5,16,14,15,16,14,15,12,13,16,14,15,12,13,16,14,15,12,13,16,14
15,15,13,13,15,13,13,11,11,15,13,13,11,11,15,13,13,11,11,15,13
15.5,13,14,13,13,14,13,12,13,13,14,13,12,13,13,14,13,12,13,13,14
16,14,12,12,14,12,12,10,12,14,12,12,10,12,14,12,12,10,12,14,12
16.5,14,12,11,14,12,11,11,9,14,12,11,11,9,14,12,11,11,9,14,12
17,11,8,11,11,8,11,9,10,11,8,11,9,10,11,8,11,9,10,11,8
17.5,8,8,9,8,8,9,8,7,8,8,9,8,7,8,8,9,8,7,8,8
18,7,6,6,7,6,6,6,4,7,6,6,6,4,7,6,6,6,4,7,6
18.5,6,6,4,6,6,4,5,4,6,6,4,5,4,6,6,4,5,4,6,6
19,6,6,4,6,6,4,6,4,6,6,4,6,4,6,6,4,6,4,6,6
19.5,6,6,6,6,6,6,5,4,6,6,6,5,4,6,6,6,5,4,6,6
20,6,6,5,6,6,5,5,4,6,6,5,5,4,6,6,5,5,4,6,6
20.5,6,5,4,6,5,4,4,4,6,5,4,4,4,6,5,4,4,4,6,5
