,3,4,5,6,10,11,12,13,14,17,18,19,20,21,24,25,26,27,28
9,30,27,28,25,30,27,28,25,25,30,27,28,25,25,30,27,28,25,25
9.5,24,25,20,25,24,25,20,25,25,24,25,20,25,25,24,25,20,25,25
10,27,25,29,26,27,25,29,26,23,27,25,29,26,23,27,25,29,26,23
10.5,29,25,29,24,29,25,29,24,25,29,25,29,24,25,29,25,29,24,25
11,27,23,23,25,27,23,23,25,25,27,23,23,25,25,27,23,23,25,25
11.5,30,23,25,25,30,23,25,25,22,30,23,25,25,22,30,23,25,25,22
12,18,20,19,14,18,20,19,14,16,18,20,19,14,16,18,20,19,14,16
12.5,20,16,17,14,20,16,17,14,17,20,16,17,14,17,20,16,17,14,17
13,22,18,18,19,22,18,18,19,18,22,18,18,19,18,22,18,18,19,18
13.5,26,23,23,20,26,23,23,20,26,26,23,23,20,26,26,23,23,20,26
14,29,26,26,28,29,26,26,28,25,29,26,26,28,25,29,26,26,28,25
14.5,23,25,26,19,23,25,26,19,24,23,25,26,19,24,23,25,26,19,24
15,28,20,23,23,28,20,23,23,23,28,20,23,23,23,28,20,23,23,23
15.5,22,21,27,19,22,21,27,19,20,22,21,27,19,20,22,21,27,19,20
16,23,20,25,21,23,20,25,21,23,23,20,25,21,23,23,20,25,21,23
16.5,24,24,25,21,24,24,25,21,21,24,24,25,21,21,24,24,25,21,21
17,16,17,18,15,16,17,18,15,13,16,17,18,15,13,16,17,18,15,13
17.5,18,15,16,14,18,15,16,14,13,18,15,16,14,13,18,15,16,14,13
18,13,12,11,10,13,12,11,10,11,13,12,11,10,11,13,12,11,10,11
18.5,11,9,12,10,11,9,12,10,9,11,9,12,10,9,11,9,12,10,9
19,12,8,9,8,12,8,9,8,9,12,8,9,8,9,12,8,9,8,9
19.5,10,9,11,7,10,9,11,7,6,10,9,11,7,6,10,9,11,7,6
20,10,8,10,10,10,8,10,10,7,10,8,10,10,7,10,8,10,10,7
20.5,9,7,8,7,9,7,8,7,7,9,7,8,7,7,9,7,8,7,7
