CSR_ID,Date,Class
1430,1,O
CSCALYSSA,2,O
1849,3,O
CSCCLAIRET,8,O
2009,9,O
655,10,O
2581,11,O
CSCELLEN,12,O
CSCFANNY,15,O
2543,16,O
2511,17,O
266,18,O
1871,19,O
2291,22,O
2163,23,O
1426,24,O
CSCJESSIE,25,O
1805,26,O
1435,29,O
TM0602,30,O
