,generation,time,score
0,1.0,6.543229103088379,93030.0
1,2.0,6.823068141937256,93030.0
2,3.0,6.836049556732178,93030.0
3,4.0,6.853039741516113,93030.0
4,5.0,7.18085241317749,93030.0
5,6.0,7.573638677597046,93030.0
6,7.0,7.893438816070557,93030.0
7,8.0,8.048363208770752,93030.0
8,9.0,8.295206546783447,93030.0
9,10.0,8.30720067024231,93030.0
10,11.0,8.321191549301147,93030.0
11,12.0,8.569049835205078,93030.0
12,13.0,8.586039543151855,93030.0
13,14.0,8.598032712936401,93030.0
14,15.0,9.440546035766602,93030.0
15,16.0,10.296050548553467,93030.0
16,17.0,10.341038465499878,93030.0
17,18.0,11.046631097793579,93030.0
18,19.0,11.289477109909058,93030.0
19,20.0,11.613303184509277,93030.0
20,21.0,11.639288187026978,93030.0
21,22.0,11.653280019760132,93030.0
22,23.0,11.66827130317688,93030.0
23,24.0,12.477790117263794,93030.0
24,25.0,12.790628433227539,93030.0
25,26.0,13.616133213043213,93030.0
26,27.0,14.219797372817993,93030.0
27,28.0,15.054301738739014,93030.0
28,29.0,15.81286358833313,93030.0
29,30.0,16.437504053115845,93030.0
30,31.0,17.25403118133545,93030.0
31,32.0,17.859681606292725,93030.0
32,33.0,18.549293041229248,93030.0
33,34.0,18.867108821868896,93030.0
34,35.0,19.615676641464233,93030.0
35,36.0,20.445189237594604,93030.0
36,37.0,21.119829416275024,93030.0
37,38.0,22.035290718078613,93030.0
38,39.0,22.85681700706482,93030.0
39,40.0,23.651357173919678,93030.0
40,41.0,24.51917028427124,93030.0
41,42.0,25.344693183898926,93030.0
42,43.0,25.586553812026978,93030.0
43,44.0,26.416089057922363,93030.0
44,45.0,27.239612102508545,93030.0
45,46.0,27.99915909767151,93030.0
46,47.0,28.898640632629395,93030.0
47,48.0,29.729159832000732,93030.0
48,49.0,29.830101490020752,93030.0
49,50.0,30.660635709762573,93030.0
50,51.0,31.413200616836548,93030.0
51,52.0,32.103787660598755,93030.0
52,53.0,32.86234951019287,93030.0
53,54.0,32.91133451461792,93030.0
54,55.0,33.45000958442688,93030.0
55,56.0,34.35250234603882,93030.0
56,57.0,35.196004152297974,93030.0
57,58.0,35.96157240867615,93030.0
58,59.0,36.82407569885254,93030.0
59,60.0,37.580623388290405,93030.0
60,61.0,37.83049249649048,93030.0
61,62.0,38.436129093170166,93030.0
62,63.0,39.21669340133667,93030.0
63,64.0,39.987257957458496,93030.0
64,65.0,40.52595019340515,93030.0
65,66.0,41.28650736808777,93030.0
66,67.0,41.39144968986511,93030.0
67,68.0,42.28292202949524,93030.0
68,69.0,42.74365544319153,93030.0
69,70.0,43.63814973831177,93030.0
70,71.0,44.24978470802307,93030.0
